iter	Passed	Remaining
744	195683	329640
745	195934	329359
746	196207	329114
747	196455	328827
748	196732	328587
749	197060	328433
750	197360	328233
751	197677	328059
752	197934	327788
753	198195	327522
754	198420	327197
755	198692	326949
756	198972	326715
757	199252	326479
758	199499	326191
759	199742	325895
760	199969	325574
761	200239	325322
762	200583	325192
763	200858	324949
764	201134	324707
765	201359	324384
766	201617	324112
767	201918	323910
768	202175	323638
769	202439	323377
770	202631	323001
771	202835	322644
772	203121	322418
773	203341	322088
774	203612	321838
775	203870	321568
776	204186	321389
777	204385	321027
778	204593	320678
779	204847	320403
780	205131	320173
781	205377	319885
782	205632	319610
783	205852	319281
784	206089	318979
785	206339	318697
786	206545	318347
787	206770	318027
788	206998	317713
789	207234	317409
790	207516	317178
791	207790	316932
792	208043	316656
793	208315	316408
794	208517	316054
795	208755	315756
796	209016	315491
797	209279	315230
798	209594	315047
799	209865	314798
800	210142	314557
801	210445	314356
802	210650	314007
803	210948	313799
804	211215	313543
805	211475	313278
806	211768	313059
807	211998	312750
808	212299	312544
809	212548	312263
810	212807	311994
811	213064	311725
812	213297	311419
813	213543	311134
814	213803	310867
815	214064	310603
816	214278	310270
817	214504	309955
818	214745	309664
819	215057	309473
820	215282	309157
821	215546	308897
822	215743	308542
823	216019	308300
824	216301	308065
825	216551	307785
826	216784	307483
827	217042	307214
828	217242	306864
829	217486	306576
830	217707	306258
831	217954	305974
832	218223	305722
833	218441	305399
834	218697	305129
835	218977	304892
836	219238	304629
837	219483	304344
838	219734	304065
839	220046	303874
840	220337	303651
841	220569	303348
842	220807	303053
843	221018	302722
844	221270	302447
845	221589	302262
846	221878	302037
847	222112	301738
848	222370	301471
849	222607	301174
850	222856	300896
851	223077	300579
852	223361	300345
853	223665	300141
854	223871	299805
855	224080	299472
856	224349	299220
857	224611	298958
858	224949	298798
859	225189	298506
860	225458	298254
861	225705	297972
862	225994	297746
863	226241	297466
864	226520	297225
865	226776	296957
866	227075	296743
867	227296	296428
868	227588	296205
869	227853	295947
870	228148	295728
871	228381	295428
872	228655	295183
873	228927	294934
874	229207	294695
875	229470	294434
876	229708	294142
877	229969	293878
878	230205	293583
879	230508	293374
880	230834	293194
881	231264	293144
882	231530	292887
883	231812	292649
884	232060	292369
885	232308	292089
886	232504	291744
887	232829	291561
888	233154	291377
889	233433	291136
890	233655	290824
891	233877	290512
892	234110	290213
893	234373	289952
894	234672	289735
895	234896	289426
896	235094	289085
897	235371	288841
898	235637	288583
899	235899	288321
900	236115	288003
901	236377	287740
902	236596	287427
903	236796	287090
904	237061	286831
905	237323	286569
906	237630	286361
907	237931	286147
908	238197	285889
909	238432	285594
910	238675	285310
911	238955	285070
912	239194	284779
913	239419	284474
914	239664	284192
915	239931	283936
916	240198	283679
917	240455	283413
918	240710	283142
919	240946	282850
920	241241	282627
921	241544	282413
922	241862	282216
923	242147	281981
924	242384	281689
925	242655	281438
926	242923	281183
927	243114	280838
928	243380	280582
929	243655	280335
930	243898	280050
931	244133	279758
932	244385	279485
933	244692	279274
934	244932	278987
935	245173	278701
936	245495	278508
937	245751	278239
938	246043	278010
939	246336	277783
940	246571	277491
941	246831	277227
942	247142	277019
943	247365	276714
944	247619	276443
945	247914	276217
946	248161	275939
947	248351	275597
948	248653	275379
949	248890	275089
950	249161	274837
951	249404	274554
952	249635	274258
953	249870	273967
954	250141	273714
955	250392	273441
956	250669	273195
957	250895	272894
958	251108	272579
959	251332	272276
960	251631	272055
961	251875	271773
962	252112	271485
963	252414	271267
964	252697	271027
965	252953	270759
966	253264	270549
967	253505	270265
968	253822	270063
969	254052	269767
970	254313	269504
971	254595	269263
972	254849	268993
973	255132	268753
974	255384	268481
975	255648	268221
976	255983	268035
977	256249	267777
978	256473	267476
979	256715	267193
980	256972	266926
981	257230	266660
982	257485	266390
983	257701	266082
984	257973	265830
985	258178	265510
986	258444	265252
987	258695	264979
988	258959	264720
989	259170	264405
990	259496	264209
991	259755	263944
992	260000	263665
993	260279	263422
994	260541	263160
995	260827	262922
996	261106	262678
997	261324	262371
998	261579	262103
999	261876	261876
1000	262118	261594
1001	262386	261338
1002	262620	261049
1003	262887	260792
1004	263109	260491
1005	263372	260231
1006	263595	259931
1007	263816	259628
1008	264022	259312
1009	264246	259013
1010	264455	258701
1011	264700	258422
1012	264981	258180
1013	265274	257949
1014	265551	257702
1015	265752	257382
1016	266002	257110
1017	266229	256814
1018	266452	256516
1019	266725	256265
1020	266981	255999
1021	267241	255735
1022	267517	255488
1023	267732	255182
1024	268033	254959
1025	268306	254708
1026	268514	254395
1027	268823	254179
1028	269028	253864
1029	269254	253569
1030	269484	253278
1031	269773	253043
1032	269981	252732
